,siren,departement,date_publication,activite_déclarée,code_ape,activte_insee,code_postal
441,892480781,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
442,892481110,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
443,892481219,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
444,892471376,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
445,892462375,75,2021-01-08,"Entreprise générale de bâtiment isolation thermique et phonique, installation de panneaux Photovoltaïque, nettoyage industriel et la fourniture et la vente de tous produits et matériels non réglementés.",41.20A,Construction de maisons individuelles,75017
446,892497314,75,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
447,892500356,75,2021-01-08,"Entreprise générale de bâtiment isolation thermique et phonique, installation de panneaux Photovoltaïque, nettoyage industriel et la fourniture et la vente de tous produits et matériels non réglementés.",41.20A,Construction de maisons individuelles,75018
448,891289423,75,2021-01-08,"Exercice de la profession d'économiste de la construction et de coordonnateur Opc (ordonnancement, pilotage, coordination de chantier).",74.90A,Activité des économistes de la construction,75020
449,892486812,75,2021-01-08,"Dans le secteur médical et paramédical l'assistance, l'analyse et le conseil à maîtrise d'ouvrage, le pilotage, la régie et la coordination de chantiers ou évènements tant nationaux Qu'internationaux, la mise en relation d'acteurs économiques, la réalisation d'études et d'appels d'offres complets, la gestion des risques sécuritaires, la management de projets et de programmes pour des entreprises ou des organismes et collectivités publics.",71.12B,"Ingénierie, études techniques",75784
450,892479742,75,2021-01-08,"Fournisseur de services de création et de conception spécialisés aux entreprises de conseil, de redressement d'insolvabilité, de restructuration, de capital-investissement et de taille intermédiaire",70.10Z,Activités des sièges sociaux,75007
451,892486671,75,2021-01-08,"Ingénierie culturelle, conception, production, diffusion de projets culturels et éducatifs, et de créations artistiques. Gestion, exploitation de tiers-lieux culturels. Organisation d'événements. Design de services. Conseil en stratégie de gestion, assistance opérationnelle d'entités culturelles, éducatives, touristiques et de loisirs. Élaboration de plans et programmes de formation.",74.90B,"Activités spécialisées, scientifiques et techniques diverses",75020
452,892455064,75,2021-01-08,"Acquisition par tous moyens de droits et biens immobiliers, l'administration, la gestion et l'exploitation par tous moyens des immeubles ou encore la mise à disposition au profit des associés conformément à l'article 15-Ii du Cgi. Éventuellement et exceptionnellement l'aliénation du ou des immeubles devenus inutiles à la société.",68.20B,Location de terrains et d'autres biens immobiliers,75116
453,892483082,75,2021-01-08,Exercice de la profession d'avocat et toutes activités commerciales connexes,69.10Z,Activités juridiques,75001
454,892501925,75,2021-01-08,"Confection homme, femme, enfant en prêt à porter sous Traitance.",14.13Z,Fabrication de vêtements de dessus,75002
455,892459876,75,2021-01-08,La mise à disposition et la gestion de flottes et/ou lignes téléphoniques à destination des entreprises.,61.90Z,Autres activités de télécommunication,75014
456,892449125,75,2021-01-08,Acquisition d'immeubles bâtis ou non bâtis. Gestion - mise en location - aliénation et toutes opérations financières.,68.20B,Location de terrains et d'autres biens immobiliers,75002
457,892455494,75,2021-01-08,"Acquisition, construction, transformation, aménagement, détention, mise en valeur, administration, exploitation et gestion par location ou autrement, mise à disposition gratuite au profit des associés, de tout bien ou droit immobilier",68.20B,Location de terrains et d'autres biens immobiliers,75015
